group_type,group_value,weighting,estimand,target_count,zero_opportunity_target_count,zplus_target_count,raw_selected_y_zero_opportunities,raw_z0_events,raw_zplus_events,weighted_selected_y_zero_opportunities,weighted_z0_mass,weighted_zplus_mass,hidden_positive_frequency
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,8,8,1,4267,4266,1,7.994845360824742,7.989690721649485,0.005154639175257732,0.0006447453255963894
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,8,8,1,4267,4266,1,4267.0,4266.0,1.0,0.00023435669088352472
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4,4,2,3776,3757,19,3.9871134020618557,3.9587628865979383,0.028350515463917526,0.007110536522301228
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4,4,2,3776,3757,19,3776.0,3757.0,19.0,0.005031779661016949
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2169,2169,1199,15244271,14493378,750893,2162.1349244279413,2111.8453608247423,50.289563603199056,0.02325921617334066
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2169,2169,1199,15244271,14493378,750893,15244271.0,14493378.0,750893.0,0.04925738987453057
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,18,18,9,13146,13015,131,17.9417553046419,17.824742268041238,0.11701303660066546,0.006521827692655678
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,18,18,9,13146,13015,131,13146.0,13015.0,131.0,0.009965008367564279
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,125,125,32,283655,282728,927,124.83613502366634,124.14432989690722,0.691805126759126,0.0055417057459202345
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,125,125,32,283655,282728,927,283655.0,282728.0,927.0,0.003268054502829141
