group_type,group_value,weighting,state,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,8,8,1,1,4266,7.994845360824742,7.989690721649485,0.9993552546744036,1.9252740791309595e-06,0.0,0.0,0.0,0.0,0.0029861000967321186,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,8,8,1,1,4266,4267.0,4266.0,0.9997656433091164,6.998125373171124e-07,0.0,0.0,0.0,0.0,0.0029861000967321186,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4,4,2,19,3757,3.9871134020618557,3.9587628865979383,0.9928894634776988,8.29032653079064e-05,0.0,0.0,0.0,0.0,0.04660998228038563,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4,4,2,19,3757,3776.0,3757.0,0.994968220338983,3.089850530230548e-05,0.0,0.0,0.0,0.0,0.04660998228038563,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2169,2169,1199,750893,14493378,2162.1349244279413,2111.8453608247423,0.9767407838266594,0.0003253934755803747,0.0,0.0,0.0,0.0035461838470550095,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2169,2169,1199,750893,14493378,15244271.0,14493378.0,0.9507426101254695,0.00094593158040035,0.0,0.0,0.0,0.01839156989416709,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,18,18,9,131,13015,17.9417553046419,17.824742268041238,0.9934781723073444,7.37232332723911e-05,0.0,0.0,0.0,0.0,0.07844570765252974,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,18,18,9,131,13015,13146.0,13015.0,0.9900349916324357,7.270667036273245e-05,0.0,0.0,0.0,0.0,0.07844570765252974,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,125,125,32,927,282728,124.83613502366634,124.14432989690722,0.9944582942540798,1.1512191780261237e-05,0.0,0.0,0.0,0.0,0.02576985229466617,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,125,125,32,927,282728,283655.0,282728.0,0.9967319454971708,7.394904963004976e-06,0.0,0.0,0.0,0.0,0.02576985229466617,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
