state,synthetic_species_id,world,orientation,target_fold,original_support_cells,retained_support_cells,lost_support_cells,support_fraction_retained,support_fraction_lost,latent_truth_mass_fraction_retained,latent_truth_mass_fraction_lost,A2_raw_mass_fraction_retained,A2_raw_mass_fraction_lost
D2,SYN057,STRONG,AB,B,175,169,6,0.9657142857142857,0.03428571428571425,0.9973130306678699,0.0026869693321300847,1.0,0.0
D3,SYN057,STRONG,AB,B,175,162,13,0.9257142857142857,0.07428571428571429,0.9918719128078737,0.008128087192126321,0.9950376011457557,0.004962398854244321
D2,SYN058,STRONG,AB,B,70,70,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D3,SYN058,STRONG,AB,B,70,66,4,0.9428571428571428,0.05714285714285716,0.9943531815235142,0.005646818476485849,0.9978906824606281,0.0021093175393719354
D2,SYN059,STRONG,AB,B,143,129,14,0.9020979020979021,0.09790209790209792,0.9897758963316339,0.010224103668366125,1.0,0.0
D3,SYN059,STRONG,AB,B,143,122,21,0.8531468531468531,0.14685314685314688,0.9806052307176321,0.01939476928236794,0.9906175216653758,0.009382478334624245
D2,SYN060,STRONG,AB,B,140,140,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN060,STRONG,AB,B,140,140,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN061,STRONG,AB,B,103,102,1,0.9902912621359223,0.009708737864077666,0.9991332049222683,0.0008667950777316857,0.9999999999999999,1.1102230246251565e-16
D3,SYN061,STRONG,AB,B,103,100,3,0.970873786407767,0.029126213592232997,0.9623957316631837,0.03760426833681629,0.9619211551380065,0.03807884486199353
D2,SYN062,STRONG,AB,B,134,134,0,1.0,0.0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16
D3,SYN062,STRONG,AB,B,134,134,0,1.0,0.0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16
D2,SYN063,STRONG,AB,B,180,180,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN063,STRONG,AB,B,180,180,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN064,STRONG,AB,B,139,138,1,0.9928057553956835,0.007194244604316502,0.9998415412766273,0.00015845872337272304,0.9999999999999999,1.1102230246251565e-16
D3,SYN064,STRONG,AB,B,139,136,3,0.9784172661870504,0.021582733812949617,0.9806372811123646,0.01936271888763541,0.9834415267588659,0.01655847324113413
D2,SYN065,STRONG,AB,B,144,134,10,0.9305555555555556,0.06944444444444442,0.9511061316712235,0.04889386832877651,1.0,0.0
D3,SYN065,STRONG,AB,B,144,120,24,0.8333333333333334,0.16666666666666663,0.8692026130700503,0.1307973869299497,0.9111204142612429,0.0888795857387571
D2,SYN066,STRONG,AB,B,146,142,4,0.9726027397260274,0.0273972602739726,0.9937317424071628,0.006268257592837223,0.9999999999999999,1.1102230246251565e-16
D3,SYN066,STRONG,AB,B,146,138,8,0.9452054794520548,0.0547945205479452,0.9864877587400118,0.013512241259988178,0.9886665536133012,0.011333446386698753
D2,SYN067,STRONG,AB,B,109,109,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN067,STRONG,AB,B,109,109,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN068,STRONG,AB,B,69,68,1,0.9855072463768116,0.01449275362318836,0.9996639815556784,0.00033601844432162853,1.0,0.0
D3,SYN068,STRONG,AB,B,69,66,3,0.9565217391304348,0.04347826086956519,0.997646803385466,0.0023531966145340366,0.9974892140314556,0.002510785968544371
D2,SYN069,STRONG,AB,B,76,76,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN069,STRONG,AB,B,76,76,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN070,STRONG,AB,B,98,98,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN070,STRONG,AB,B,98,98,0,1.0,0.0,1.0,0.0,1.0,0.0
