candidate_id,frame_id,state_fips,state_abbr,state_name,fold,estimator_family,selected_panels,parent_design_block_count,represented_design_block_count,missing_design_block_count,parent_area_acres,constant_response_recovered_area_acres,full_area_recovery_ratio,missing_parent_area_acres,max_represented_stratum_calibration_relative_error,constant_identity_status,full_design_coverage_status,variance_estimable_block_count_n_ge2,full_evaluation_expns_reused_as_final_fold_weight,final_estimator_selected
T1_NE_A1-5_B2-3-4,T1,31,NE,Nebraska,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-5,30,30,0,49506064.0,49506064.0,1.0,0.0,1.484093472336626e-16,PASS,PASS,28,0,0
T1_NE_A1-5_B2-3-4,T1,31,NE,Nebraska,B,TI_POOLED_SELECTED_PANELS,2-3-4,15,15,0,49506064.0,49506064.0,1.0,0.0,0.0,PASS,PASS,15,0,0
T1_NE_A1-5_B2-3-4,T1,31,NE,Nebraska,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-3-4,45,44,1,49506064.0,49486157.3634648,0.9995978949864567,19906.636535197496,1.2476076930283213e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,42,0,0
T1_NV_A1-3_B2-4-5,T1,32,NV,Nevada,A,TI_POOLED_SELECTED_PANELS,1-3,59,59,0,67771361.0,67771361.0,1.0,0.0,1.174540857614087e-16,PASS,PASS,59,0,0
T1_NV_A1-3_B2-4-5,T1,32,NV,Nevada,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-3,118,117,1,67771361.0,67745041.0,0.9996116353632031,26320.0,1.395378951161958e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,112,0,0
T1_NV_A1-3_B2-4-5,T1,32,NV,Nevada,B,TI_POOLED_SELECTED_PANELS,2-4-5,59,59,0,67771361.0,67771361.0,1.0,0.0,1.366925201311134e-16,PASS,PASS,59,0,0
T1_NV_A1-3_B2-4-5,T1,32,NV,Nevada,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-4-5,177,176,1,67771361.0,67729292.65094113,0.9993792606723825,42068.3490588665,1.2611850093323514e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,173,0,0
T1_NH_A3-5_B1-2-4,T1,33,NH,New Hampshire,A,TI_POOLED_SELECTED_PANELS,3-5,17,17,0,5940580.3,5940580.3,1.0,0.0,1.405418876723571e-16,PASS,PASS,17,0,0
T1_NH_A3-5_B1-2-4,T1,33,NH,New Hampshire,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-5,34,34,0,5940580.3,5940580.3,1.0,0.0,1.5725423496449248e-16,PASS,PASS,34,0,0
T1_NH_A3-5_B1-2-4,T1,33,NH,New Hampshire,B,TI_POOLED_SELECTED_PANELS,1-2-4,17,17,0,5940580.3,5940580.3,1.0,0.0,1.3045744769393667e-16,PASS,PASS,17,0,0
