synthetic_species_id,world,orientation,target_fold,D3_support_cells,legal_target_fold_plots_in_support,plots_per_occupied_cell,target_fold_TI_sum_in_support,kish_effective_plot_information,mean_expected_total_tree_count,latent_concentration_D3,two_panel_plot_fraction,three_panel_plot_fraction,dominant_panel_role,E1_hellinger,E4_hellinger,E0_test_appearance_count,E5_test_appearance_count,individual_gain_missing_semantics,E0_individual_gain_pp_mean_over_test_appearances,E5_individual_gain_pp_mean_over_MC_and_test_appearances,E5_minus_E0_individual_gain_pp
SYN032,STRONG,AB,B,165,5788,35.07878787878788,60614291.04914363,4485.638105326776,1474.60498046875,0.026109790321517265,0.0,1.0,3_PANEL,0.13187881562449694,0.007939332199641524,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN032,STRONG,BA,A,165,3927,23.8,61242428.1952417,2968.293221530338,957.6199951171875,0.026109790321517265,1.0,0.0,2_PANEL,0.15386123893831277,0.009944380323880862,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN032,PAIRED_NULL,AB,B,165,5788,35.07878787878788,60614291.04914363,4485.638105326776,1592.9449462890625,0.02401858812554965,0.0,1.0,3_PANEL,0.1428618465951997,0.008548699362943644,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN032,PAIRED_NULL,BA,A,165,3927,23.8,61242428.1952417,2968.293221530338,1017.530029296875,0.02401858812554965,1.0,0.0,2_PANEL,0.17274065234437735,0.012355157743244104,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN033,STRONG,AB,B,147,4145,28.197278911564627,46141640.50087999,3543.962422916143,1450.7349853515625,0.01595330445605538,0.0,1.0,3_PANEL,0.128998337390159,0.008339838748455652,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN033,STRONG,BA,A,147,2718,18.489795918367346,45997366.6616405,2248.862217556411,980.4099731445312,0.01595330445605538,1.0,0.0,2_PANEL,0.1739426906384332,0.011282295166241248,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN033,PAIRED_NULL,AB,B,147,4145,28.197278911564627,46141640.50087999,3543.962422916143,1542.1600341796875,0.016093408848970772,0.0,1.0,3_PANEL,0.1314396657551276,0.007958646554899161,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN033,PAIRED_NULL,BA,A,147,2718,18.489795918367346,45997366.6616405,2248.862217556411,982.2050170898438,0.016093408848970772,1.0,0.0,2_PANEL,0.13442839882004948,0.010144041230900179,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN034,STRONG,AB,B,116,5852,50.44827586206897,33521218.520604,4521.996209180426,3069.64501953125,0.03261906582361026,0.0,1.0,3_PANEL,0.08416102091917194,0.0054935733773782665,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,39.921262298281576,39.31298518271039,-0.6082771155711839
SYN034,STRONG,BA,A,116,3879,33.439655172413794,33353531.613440182,2980.100075256354,2031.8349609375,0.03261906582361026,1.0,0.0,2_PANEL,0.0985556879122407,0.006634325549454443,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,39.921262298281576,9.634285609913467,-30.286976688368107
