state,synthetic_species_id,world,orientation,support_cells_D3,cell_mass_correlation,allocation_bias,relative_bias,allocation_rmse,relative_rmse,entropy_bias,concentration_bias,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,true_concentration,estimated_concentration
E0,SYN011,PAIRED_NULL,BA,122,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9672722883362104,3.9672722883362104,0.027253464881815914,0.027253464881815914
E0,SYN012,STRONG,AB,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08014707553828,4.08014707553828,0.028247974159854985,0.028247974159854985
E0,SYN012,STRONG,BA,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08014707553828,4.08014707553828,0.028247974159854985,0.028247974159854985
E0,SYN012,PAIRED_NULL,AB,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.117763252119639,4.117763252119639,0.02691409150738436,0.02691409150738436
E0,SYN012,PAIRED_NULL,BA,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.117763252119639,4.117763252119639,0.02691409150738436,0.02691409150738436
E0,SYN013,STRONG,AB,118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.728831370767703,3.728831370767703,0.03937665801301013,0.03937665801301013
E0,SYN013,STRONG,BA,118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.728831370767703,3.728831370767703,0.03937665801301013,0.03937665801301013
E0,SYN013,PAIRED_NULL,AB,118,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6418557266826554,3.6418557266826554,0.043061702862803905,0.043061702862803905
E0,SYN013,PAIRED_NULL,BA,118,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6418557266826554,3.6418557266826554,0.043061702862803905,0.043061702862803905
E0,SYN014,STRONG,AB,125,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7842007847202326,3.7842007847202326,0.033066524317219535,0.033066524317219535
E0,SYN014,STRONG,BA,125,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7842007847202326,3.7842007847202326,0.033066524317219535,0.033066524317219535
E0,SYN014,PAIRED_NULL,AB,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7842007847202312,3.7842007847202312,0.03306652431721952,0.03306652431721952
E0,SYN014,PAIRED_NULL,BA,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7842007847202312,3.7842007847202312,0.03306652431721952,0.03306652431721952
E0,SYN015,STRONG,AB,151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.036819074546298,4.036819074546298,0.027221380283798186,0.027221380283798186
E0,SYN015,STRONG,BA,151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.036819074546298,4.036819074546298,0.027221380283798186,0.027221380283798186
E0,SYN015,PAIRED_NULL,AB,151,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.047375906610172,4.047375906610172,0.027090863507762557,0.027090863507762557
E0,SYN015,PAIRED_NULL,BA,151,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.047375906610172,4.047375906610172,0.027090863507762557,0.027090863507762557
E0,SYN016,STRONG,AB,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2733440541817993,3.2733440541817993,0.07435999952375472,0.07435999952375472
E0,SYN016,STRONG,BA,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2733440541817993,3.2733440541817993,0.07435999952375472,0.07435999952375472
E0,SYN016,PAIRED_NULL,AB,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.205483609831353,3.205483609831353,0.08092107626128264,0.08092107626128264
E0,SYN016,PAIRED_NULL,BA,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.205483609831353,3.205483609831353,0.08092107626128264,0.08092107626128264
E0,SYN017,STRONG,AB,168,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1434314670173915,4.1434314670173915,0.024780601207551083,0.024780601207551083
E0,SYN017,STRONG,BA,168,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1434314670173915,4.1434314670173915,0.024780601207551083,0.024780601207551083
E0,SYN017,PAIRED_NULL,AB,168,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.143431467017391,4.143431467017391,0.024780601207551076,0.024780601207551076
