K,orientation,metric,n,mean,sd,mcse,q05,median,q95,min,max
32,AB,PAIRED_NULL_geometry_coverage_crosscheck,6,0.9270833333333334,0.02551551815399144,0.010416666666666668,0.890625,0.9375,0.9375,0.875,0.9375
32,BA,strong_gain_pp,6,9.580000647582052,0.4909941713564151,0.2004475310839775,8.970547849243125,9.722020719674955,10.094013252204256,8.959537330986262,10.151603648837305
32,BA,paired_null_gain_pp,6,0.8159564039511134,0.3469251412033444,0.14163159581519966,0.496476041191171,0.6738061222980622,1.2947305337841803,0.4635747991038431,1.3447752612915822
32,BA,separation_pp,6,8.050791954551764,0.6302775626539496,0.2573097374712053,7.21706149034276,8.075731904165238,8.772006302138555,7.034741311366394,8.866750314106177
32,BA,BA_minus_AB_separation_pp,6,-2.4285515317963955,0.9703334878722534,0.39613698760368504,-3.5985406071511212,-2.503880326712217,-1.2840277515274705,-3.763551604134026,-1.2198108445461884
32,BA,STRONG_hellinger_median,6,0.021794058746103403,0.0004002516770035824,0.0001634020628920068,0.021322945631216367,0.021830347855076492,0.022200052110703923,0.02127461891993654,0.022219548180670325
32,BA,PAIRED_NULL_hellinger_median,6,0.022183378843184637,0.00020667613834368092,8.43751801584806e-05,0.021905797662620814,0.022184630786542037,0.022394963754747102,0.021834712699968957,0.022401304391755018
32,BA,STRONG_sliced_wasserstein_km_median,6,0.6468078537957983,0.03750479271259016,0.015311267509116483,0.6068579621909822,0.6456426440752162,0.6976291914294606,0.6042179982413799,0.709975391687327
32,BA,PAIRED_NULL_sliced_wasserstein_km_median,6,0.7948502245147672,0.06260801176229486,0.025559613771298305,0.7206868500007302,0.8077313213444346,0.8660739578169188,0.7199393218788781,0.8767629415565525
32,BA,STRONG_geometry_coverage_crosscheck,6,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
32,BA,PAIRED_NULL_geometry_coverage_crosscheck,6,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.9375,0.9375
