K,block,start_realization,end_realization,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,STRONG_hellinger_median,PAIRED_NULL_hellinger_median,STRONG_sliced_wasserstein_km_median,PAIRED_NULL_sliced_wasserstein_km_median,STRONG_geometry_coverage_crosscheck,PAIRED_NULL_geometry_coverage_crosscheck,BA_minus_AB_separation_pp
1,53,53,53,AB,-9.32639560750157,2.5188177994500123,-9.939429087647971,1.0,0.875,0.10941102038828605,0.11344667631432492,2.9608685125531897,3.5808215993567414,1.0,0.875,-23.713594177459548
1,53,53,53,BA,-31.512244280479802,4.07785456348002,-33.65302326510752,0.9375,0.875,0.1358546028668984,0.13611521532396642,3.314359097164675,4.186086474485011,0.9375,0.875,-23.713594177459548
1,54,54,54,AB,-9.616627064363945,3.5406209135742572,-10.995264311525862,1.0,0.8125,0.10799577708823904,0.11257193026163334,3.2803381146628556,3.6442555230833893,1.0,0.8125,-11.99966666005734
1,54,54,54,BA,-20.086940423837895,2.9079905477453085,-22.9949309715832,0.9375,0.875,0.13268017804601845,0.1358368430764662,3.9174224892982337,4.069936189013147,0.9375,0.875,-11.99966666005734
1,55,55,55,AB,-4.743936151570986,3.4975979307812475,-8.241534082352233,1.0,0.8125,0.11246038611750299,0.1084775581486495,2.92802159037309,3.4348054528797283,1.0,0.8125,-21.61246172265117
1,55,55,55,BA,-23.688522986164653,4.222643674536804,-29.8539958050034,1.0,0.875,0.1326399552803258,0.13760171539917632,3.5016297837749164,4.257490564482099,1.0,0.875,-21.61246172265117
1,56,56,56,AB,-7.439641158294295,4.292096162347121,-11.802917355341439,1.0,0.8125,0.10957918998882185,0.11017440404334847,2.754236658746985,3.7215231925981724,1.0,0.8125,-12.545436554424622
1,56,56,56,BA,-19.25253295371771,3.7029673337902103,-24.34835390976606,0.9375,0.875,0.1347036484165539,0.13493722416124343,3.6409386068718037,4.1219428130956075,0.9375,0.875,-12.545436554424622
1,57,57,57,AB,-11.062754943698376,4.667147679631508,-18.617131989330254,1.0,0.875,0.1118007935824844,0.11042977331297871,2.8102240569869847,3.6192448267071198,1.0,0.875,-2.9722005826214826
1,57,57,57,BA,-16.55550387157564,3.625525691696348,-21.589332571951736,0.9375,0.875,0.13300161618837686,0.13698889253751179,3.6052778070862495,4.882383765702749,0.9375,0.875,-2.9722005826214826
