layer,model,world,observation_regime,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_support_dispersion,geometry_support_dispersion,source
L2,M0,PAIRED_NULL,O3,BA,3,9042103,72,28,28,16,0.0,-2.133882334491146,-3.7982634518298046,16.602914095152304,0.9375,1.0,0.9375,1.0,406.27112850103697,421.70237629022836,115.09877510232425,117.55484753144844,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,BA,4,9042104,72,28,28,16,0.2,1.177910146766767,-71.67280310897831,8.69772340419278,1.0,1.0,0.875,0.8125,331.5881526183824,569.2466763772542,125.4073713549231,123.93018520293998,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,BA,5,9042105,72,28,28,16,0.2,-9.536488950032457,-26.394061359748893,-1.7671134948857679,0.9375,0.9375,0.875,0.9375,341.85664535234633,432.0864980890238,120.79691219558215,132.31669637909425,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,AB,1,9042101,72,28,28,16,0.6000000000000001,64.54770592322832,47.23653322264674,70.17750334415564,1.0,1.0,1.0,1.0,580.2601147293052,306.16535285742884,163.4032240822828,57.93019153257711,121.16283187170937,10.248148292870297,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,AB,2,9042102,72,28,28,16,0.6000000000000001,57.93923278280671,67.06332778138743,67.60172729128738,0.75,1.0,1.0,1.0,561.7604429483215,185.02519574771475,154.16481797672517,64.84290522000012,104.89990517982142,7.0331508417498085,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,AB,3,9042103,72,28,28,16,0.6000000000000001,55.33040857180184,72.81181141361789,66.49754558422315,0.75,0.875,1.0,1.0,570.4841231157236,155.10429924807124,162.00626760610933,72.36753782772239,113.62358534722365,19.59663576685209,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,AB,4,9042104,72,28,28,16,0.6000000000000001,71.73188371702162,37.10875747236842,77.07902727612408,1.0,1.0,0.875,0.875,487.83276199798775,306.80408547739825,166.58902937015756,47.091580537041146,118.40891048818582,13.611541848482442,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,AB,5,9042105,72,28,28,16,0.6000000000000001,55.42630587625807,67.00354726733906,69.3059326628309,0.8125,0.875,1.0,1.0,575.911137735525,190.03024634503237,157.37374653692302,70.14729241244098,119.05059996702505,13.467177804463681,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,BA,1,9042101,72,28,28,16,0.6000000000000001,66.1546130460213,60.312274068360786,73.12662021155572,1.0,1.0,0.9375,0.9375,517.726299673089,205.4737948902727,152.470250988054,51.60414643660942,117.55491905224075,16.732982864166157,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,BA,2,9042102,72,28,28,16,0.6000000000000001,56.06037630328727,70.45196109722781,62.63651676267725,0.6875,0.8125,0.9375,1.0,495.5990065686365,146.4397872626533,142.9005804621905,62.78997731550469,95.42762594778819,14.07531853020203,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,BA,3,9042103,72,28,28,16,0.6000000000000001,53.7623416118095,71.34916025104414,61.26362795797621,0.8125,0.8125,1.0,1.0,556.4815388023468,159.43663391478398,141.75723203506038,65.54522468892577,100.54765249171626,17.298250864621295,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,BA,4,9042104,72,28,28,16,0.8,47.807319200568635,10.691709920282706,53.15748107403408,1.0,1.0,0.8125,0.8125,283.32733572905875,253.0347988680423,100.43597831221598,52.420229568281,62.39168712445299,6.919492597414671,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O1,BA,5,9042105,72,28,28,16,0.8,35.237260828810875,68.51473432195023,48.1972557031293,0.5,0.875,1.0,1.0,395.39870701966856,124.49233339271625,103.6459927508481,67.12398394662134,70.58367632650362,10.185563334272002,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O2,AB,1,9042101,72,28,28,16,0.4,70.44267422812389,70.04084912104643,75.04124721537056,0.9375,1.0,1.0,1.0,1122.4164492437064,336.26643751911524,306.4154921859546,90.56822524090019,177.6309178443558,17.33547451455886,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O2,AB,2,9042102,72,28,28,16,0.4,66.8781118700007,71.52963453435237,73.73948433283562,0.8125,1.0,1.0,1.0,953.1185791857049,271.35634281515837,284.41929106362863,94.20503940623217,164.46206726393578,24.44786367812057,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O2,AB,3,9042103,72,28,28,16,0.4,64.42626190737167,73.00015418270425,68.84193485814897,0.6875,0.8125,0.9375,0.9375,968.0722218697454,261.3780073049005,319.34732649285615,113.60378153237936,188.20032208466154,28.185938113696025,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O2,AB,4,9042104,72,28,28,16,0.4,65.82634564759388,56.68185807734758,67.90038661261198,0.875,0.875,0.9375,0.9375,878.723606103004,380.64673879954853,316.0568554807129,108.00817734906255,185.7378507815114,46.37287037890988,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O2,AB,5,9042105,72,28,28,16,0.4,67.45846601493534,43.87477843098335,71.96610236101972,1.0,0.9375,0.9375,1.0,927.7112674960134,520.6800044028703,302.47644720887644,98.43047586529269,201.25720990918853,36.13278232742337,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O2,BA,1,9042101,72,28,28,16,0.4,66.41696971371198,59.25582360276632,71.54292045534821,1.0,1.0,1.0,1.0,982.8551263992979,400.45622642938395,301.7405106504832,101.3336070777519,183.59239259504983,24.99737760738408,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M1,STRONG,O2,BA,2,9042102,72,28,28,16,0.6000000000000001,56.44109786142762,57.85939912671137,63.7675696166806,0.875,1.0,1.0,1.0,717.3879883227969,302.3116088720243,207.30333448600794,90.29905659875757,144.67409737490505,23.59686487153474,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
