stratum,state,P2PANEL,n_lineages_total,n_A,n_B,abs_balance_diff,missing_P2PANEL_count,duplicate_lineage_across_AB,duplicate_primary_measurement,split_seed,split_rule_id,status
ME|1,ME,1,635,318,317,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ME|2,ME,2,636,318,318,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ME|3,ME,3,622,311,311,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ME|4,ME,4,629,315,314,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ME|5,ME,5,628,314,314,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MI|1,MI,1,814,407,407,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MI|2,MI,2,835,418,417,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MI|3,MI,3,787,394,393,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MI|4,MI,4,868,434,434,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MI|5,MI,5,825,413,412,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MN|1,MN,1,1216,608,608,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MN|2,MN,2,1253,627,626,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MN|3,MN,3,1217,609,608,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MN|4,MN,4,1316,658,658,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MN|5,MN,5,1315,658,657,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MO|1,MO,1,673,337,336,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MO|2,MO,2,587,294,293,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MO|3,MO,3,600,300,300,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
