analysis_species_id,analysis_species_name,confirmed_native_CONUS,core_eligibility_status,all_view_detected_cells_fold_A,all_view_detected_cells_fold_B,native_view_detected_cells_fold_A,native_view_detected_cells_fold_B,passes_ge10_each_fold_all_view,passes_ge10_each_fold_native_view,union_queue_flag,queue_role,little_information_used
173145,Quercus hypoleucoides,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,17,15,17,15,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173302,Quercus imbricaria,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,118,123,118,123,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173316,Quercus incana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,18,27,18,27,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173428,Quercus kelloggii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,61,69,61,69,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173479,Quercus laevis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,53,57,53,57,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173587,Quercus laurifolia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,273,256,273,256,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173674,Quercus lobata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,18,16,18,16,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173795,Quercus lyrata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,185,173,185,173,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173817,Quercus macrocarpa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,331,342,331,342,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173863,Quercus margaretta,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,37,39,37,39,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173871,Quercus marilandica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,232,237,232,237,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173929,Quercus michauxii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,469,460,420,403,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173948,Quercus minima,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,22,21,22,21,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
