FIA_SPCD,accepted_scientific_name,direction,fold,stress_tier,conservative_envelope_tv,AB_fold_discrepancy_tv,stress_to_fold_discrepancy_ratio,stress_minus_fold_discrepancy,comparison_class
128,Pinus serotina,BA,A,E_EMPIRICAL_MAX,1.0,0.415350340036553,2.407606070364586,0.584649659963447,STRESS_GT_FOLD_DISCREPANCY
131,Pinus taeda,AB,B,E_OBSERVED,0.0,0.15471305803230503,0.0,-0.15471305803230503,STRESS_LT_FOLD_DISCREPANCY
131,Pinus taeda,BA,A,E_OBSERVED,0.0,0.15471305803230503,0.0,-0.15471305803230503,STRESS_LT_FOLD_DISCREPANCY
131,Pinus taeda,AB,B,E_P95,0.09261156421587981,0.15471305803230503,0.5986021179708176,-0.06210149381642523,STRESS_LT_FOLD_DISCREPANCY
131,Pinus taeda,BA,A,E_P95,1.0,0.15471305803230503,6.463578528653954,0.8452869419676949,STRESS_GT_FOLD_DISCREPANCY
131,Pinus taeda,AB,B,E_EMPIRICAL_MAX,1.0,0.15471305803230503,6.463578528653954,0.8452869419676949,STRESS_GT_FOLD_DISCREPANCY
131,Pinus taeda,BA,A,E_EMPIRICAL_MAX,1.0,0.15471305803230503,6.463578528653954,0.8452869419676949,STRESS_GT_FOLD_DISCREPANCY
132,Pinus virginiana,AB,B,E_OBSERVED,0.0,0.2900502121754186,0.0,-0.2900502121754186,STRESS_LT_FOLD_DISCREPANCY
132,Pinus virginiana,BA,A,E_OBSERVED,0.0,0.2900502121754186,0.0,-0.2900502121754186,STRESS_LT_FOLD_DISCREPANCY
132,Pinus virginiana,AB,B,E_P95,0.09261156421587981,0.2900502121754186,0.3192949369741179,-0.1974386479595388,STRESS_LT_FOLD_DISCREPANCY
132,Pinus virginiana,BA,A,E_P95,1.0,0.2900502121754186,3.4476789122126656,0.7099497878245814,STRESS_GT_FOLD_DISCREPANCY
132,Pinus virginiana,AB,B,E_EMPIRICAL_MAX,1.0,0.2900502121754186,3.4476789122126656,0.7099497878245814,STRESS_GT_FOLD_DISCREPANCY
132,Pinus virginiana,BA,A,E_EMPIRICAL_MAX,1.0,0.2900502121754186,3.4476789122126656,0.7099497878245814,STRESS_GT_FOLD_DISCREPANCY
133,Pinus monophylla,AB,B,E_OBSERVED,0.0,0.1868175741857012,0.0,-0.1868175741857012,STRESS_LT_FOLD_DISCREPANCY
133,Pinus monophylla,BA,A,E_OBSERVED,0.0,0.1868175741857012,0.0,-0.1868175741857012,STRESS_LT_FOLD_DISCREPANCY
133,Pinus monophylla,AB,B,E_P95,0.09261156421587981,0.1868175741857012,0.49573261305610183,-0.09420600996982138,STRESS_LT_FOLD_DISCREPANCY
133,Pinus monophylla,BA,A,E_P95,1.0,0.1868175741857012,5.352815463742056,0.8131824258142988,STRESS_GT_FOLD_DISCREPANCY
133,Pinus monophylla,AB,B,E_EMPIRICAL_MAX,1.0,0.1868175741857012,5.352815463742056,0.8131824258142988,STRESS_GT_FOLD_DISCREPANCY
133,Pinus monophylla,BA,A,E_EMPIRICAL_MAX,1.0,0.1868175741857012,5.352815463742056,0.8131824258142988,STRESS_GT_FOLD_DISCREPANCY
142,Pinus longaeva,AB,B,E_OBSERVED,0.0,0.8291132064974289,0.0,-0.8291132064974289,STRESS_LT_FOLD_DISCREPANCY
142,Pinus longaeva,BA,A,E_OBSERVED,0.0,0.8291132064974289,0.0,-0.8291132064974289,STRESS_LT_FOLD_DISCREPANCY
142,Pinus longaeva,AB,B,E_P95,0.09261156421587981,0.8291132064974289,0.11169954053333125,-0.7365016422815491,STRESS_LT_FOLD_DISCREPANCY
142,Pinus longaeva,BA,A,E_P95,1.0,0.8291132064974289,1.2061079140500954,0.17088679350257108,STRESS_GT_FOLD_DISCREPANCY
142,Pinus longaeva,AB,B,E_EMPIRICAL_MAX,1.0,0.8291132064974289,1.2061079140500954,0.17088679350257108,STRESS_GT_FOLD_DISCREPANCY
